A000,Medicine and Dentistry,
A100,Pre-clinical Medicine,"Vocational science of preventing, diagnosing, alleviating or curing disease in homo sapiens. Includes such areas as Anatomy, Physiology, Pharmacy and Nutrition which can be specialisms in their own right."
A200,Pre-clinical Dentistry,"Vocational science concerned with the diagnosis and treatment of damage, disease and disorder to the teeth and gums of homo sapiens."
A300,Clinical Medicine,"The observation, diagnosis and treatment of an illness or disease through direct interaction with human patients."
A400,Clinical Dentistry,"The observation, diagnosis and treatment of disease or damage to teeth and gums through direct interaction with human patients."
A900,Others in Medicine and Dentistry,Miscellaneous grouping for related subjects which do not fit into the other Medicine and Dentistry categories. To be used sparingly.
A990,Medicine and Dentistry not elsewhere classified,Miscellaneous grouping for related subjects which do not fit into the other Others in Medicine and Dentistry categories. To be used sparingly.
B000,Subjects allied to Medicine,
B100,"Anatomy, Physiology and Pathology","The study of the human body and how it is affected by disease. Taught by the dissection of cadavers, use of microscope slides and interviewing patients. Includes study at a cellular level."
B110,Anatomy,"The scientific study of the structure and function of the human body, including tissues, organs and systems."
B120,Physiology,"The study of systemic function and behaviour of the human body, including processes such as respiration, circulation, digestion, excretion, and reproduction."
B130,Pathology,"The study of the nature, causes and development of human diseases, and the mechanisms of disease infestation and transfer."
B131,Cellular Pathology,The study of the effects and nature of diseases in cellular structures.
B132,Pathobiology,The study of the biological nature of diseases.
B140,Neuroscience,"The study of the anatomy, physiology, biophysics, biochemistry, molecular biology and behaviour roles of neuron cells and biological nervous systems in humans."
B160,Physiotherapy,"The study of the planning and execution of treatment programmes to prevent or remedy physical dysfunction, relieve pain and prevent further disability."
B190,"Anatomy, Physiology and Pathology not elsewhere classified","Miscellaneous grouping for related subjects which do not fit into other Anatomy, Physiology and Pathology categories. To be used sparingly."
B200,"Pharmacology, Toxicology and Pharmacy","The study of drugs, their characteristics, actions and uses. Includes the study of poisons, their nature, effects and antidotes. Also includes how drugs and other chemicals interact with biological systems."
B210,Pharmacology,The study of the therapeutic and toxic effects of drugs on human tissues and systems.
B220,Toxicology,"The study of the nature, source, identification and characteristics of poisons, toxic substances, and exogenous chemical agents and their effects on human tissues and systems."
B230,Pharmacy,"The study of the professional practice of pharmacy. Includes instruction in principles of medicinal chemistry, drug behaviour, and mixing, preparing and dispensing of prescription medications."
B290,"Pharmacology, Toxicology and Pharmacy not elsewhere classified","Miscellaneous grouping for related subjects which do not fit into other Pharmacology, Toxicology and Pharmacy categories. To be used sparingly."
B300,Complementary Medicine,"The prevention, alleviation and treatment of illness or disease by techniques not covered within clinical medicine. Includes such areas as acupuncture, osteopathy, reflexology etc."
B310,Osteopathy,The treatment of disease through the manipulation of bones.
B320,Chiropractic,The diagnosis and manipulative treatment of mechanical disorders of the joints.
B330,Chiropody,"The treatment of the feet, and their ailments. Also called Podiatry."
B340,Alternative Medicine,Methods of diagnosis and treatment considered outside the scope of mainstream medicine in the UK.
B341,Chinese,"The range of medical techniques with roots in China, such as moxibustion, massage, cupping, gwa sha, breath work (Qi Gong) and exercise (Tai Chi)."
B342,Herbalism,The use of herbs in the treatment of illness.
B343,Acupuncture,The method of treating various conditions by pricking the skin or tissues with needles.
B344,Aromatherapy,The use of plant extracts and essential oils in massage.
B345,Hypnotherapy,The treatment of disease by hypnosis.
B346,Reflexology,"A system of massage through reflex points on the feet, hands and head used to relieve tension and treat illness."
B390,Complementary Medicine not elsewhere classified,Miscellaneous grouping for related subjects not elsewhere classified. To be used sparingly.
B400,Nutrition,The study of the process of assimilating nutrient materials into animal or plant tissue. Designed to enhance health and the quality of life of those treated.
B410,Dietetics,"The study of nutritional services, menu planning and diet formulation for individuals, families and institutions."
B490,Nutrition not elsewhere classified,Miscellaneous grouping for related subjects which do not fit into other Dietetics categories. To be used sparingly.
B500,Ophthalmics,"The study of the eye, disruption to sight and diseases of the eye. Also includes treatment of eye disorders."
B510,Optometry,"The study of the principles and techniques for examining, diagnosing and treating conditions of the human visual system."
B520,Orthoptics,The study of principles and techniques for the correction of vision defects in humans using therapeutic exercises.
B590,Ophthalmics not elsewhere classified,Miscellaneous grouping for related subjects which do not fit into other Ophthalmic categories. To be used sparingly.
B600,Aural and Oral Sciences,The study of speech and hearing and problems that can occur with them. Includes the treatment of hearing defects and speech impediments.
B610,Audiology,"The study of the anatomy and physiology of the human hearing organs, their function and malfunction, and related environmental and behavioural topics."
B620,Speech Science,"The study of the anatomy and physiology of the human speech organs, their function and malfunction, and related environmental and behavioural topics."
B630,Language Pathology,The study of the principles and techniques of therapies for persons with physical or behavioural disorders that affect speaking or comprehension.
B690,Aural and Oral Sciences not elsewhere classified,Miscellaneous grouping for related subjects which do not fit into other Aural and Oral Science categories. To be used sparingly.
B700,Nursing,"Vocational science concerning the practical care of sick, injured or infirm patients in hospital and the community. May include allied subjects in behavioural, social and biological sciences."
B701,Palliative Care Nursing,"The study of principles and techniques for the provision of palliative care of the sick, disabled and infirm."
B710,Community Nursing,"The study of principles and techniques for the provision of care for the sick, disabled and infirm within a community."
B711,District Nursing,The vocational study of principles and techniques associated with the peripatetic care of individuals within a community.
B712,Health Visiting,"The study of the techniques of assisting elderly, convalescent or disabled persons in their homes, and providing for their physical, mental and social health care needs."
B713,School Nursing,The vocational study of principles and techniques for the provision of care within a school setting.
B714,Practice Nursing,The vocational study of principles and techniques associated with a doctor's surgery.
B720,Midwifery,"The vocational study of principles and techniques to allow midwives to deliver babies and treat mothers in the pre-natal, delivery and post-delivery periods."
B730,Paediatric Nursing,"The vocational study of the principles and techniques to allow nurses to provide care for children, from infancy to adolescence."
B740,Adult Nursing,The vocational study of the principles and techniques to allow nurses to provide care for adults
B741,Geriatric Nursing,The vocational study of the principles and techniques to allow nurses to provide care for the elderly.
B750,Dental Nursing,The study of principles and techniques in providing assistance to dentists undertaking dental procedures and care to persons undergoing such procedures.
B760,Mental Health Nursing,"The study of principles and techniques to allow nurses to provide care for persons with mental, emotional or behavioural disorders."
B761,Learning Disability Nursing,The study of the principles and techniques to provide support for learning needs.
B770,Medical Nursing,The study of principles and techniques to allow nurses to provide care to patients before and during surgery and to provide assistance to surgeons.
B771,Critical Care Nursing,The study of principles and techniques for care of critically ill patients.
B780,Paramedical Nursing,The study of principles and techniques to allow nurses to provide on-site care for persons with acute illnesses or injuries.
B790,Nursing not elsewhere classified,Miscellaneous grouping for related subjects which do not fit into other Nursing categories. To be used sparingly.
B800,Medical Technology,"The study of the use and development of medical equipment and its potential, including that used in radiography. Also involves understanding the effects of the various forms of radiation used to display and treat damage or illness."
B810,Cardiography,The study of techniques aimed at diagnosing disorders of the human cardiovascular system.
B820,Radiology,The study of the principles and techniques in the use of radiation to provide diagnostic information and therapy in medicine.
B821,"Radiography, diagnostic",The study of the principles and techniques in the use of radiation to provide medical diagnostic information.
B822,"Radiography, therapeutic",The study of the treatment of human diseases by means of controlled exposure to forms of radiation.
B830,"Biomechanics, Biomaterials and Prosthetics (non-clinical)","The study of the mechanical laws relating to the movement and structure of the human body. Also the design and construction of artificial materials and devices for the purpose of regulating/replacing human tissues, organs or limbs."
B840,Dental Technology,The study of the design and fabrication of dental prosthetics and restorative appliances.
B850,Mortuary Technology,The study of the techniques/processes and equipment relating to the storage of deceased human beings.
B890,Medical Technology not elsewhere classified,Miscellaneous grouping for related subjects which do not fit into other Medical Technology categories. To be used sparingly.
B900,Others in Subjects allied to Medicine,Miscellaneous grouping for related subjects which do not fit into the other subjects allied to medicine categories. To be used sparingly.
B910,Environmental Health,The study of the monitoring and evaluation of health hazards and the planning and management of public health programmes.
B920,Occupational Health,The monitoring and evaluation of health standards related to industrial and commercial workplaces and locations.
B930,Occupational Therapy,The study of therapeutic regimes to assist recovery from mental or physical ailments/injury.
B940,Counselling,The study of the provision of support services aimed at helping people to maintain a healthy and positive mental disposition in addressing problems.
B990,Subjects Allied to Medicine not elsewhere classified,Miscellaneous grouping for related subjects which do not fit into the other Others in Subjects Allied to Medicine categories. To be used sparingly.
C000,Biological Sciences,
C100,Biology,"A broadly based scientific study of living organisms, both animal and vegetable. Includes their structure, functions, evolution, distribution and interrelationships."
C110,Applied Biology,Topics in Biology of commercial or social importance.
C111,Parasitology,The study of the transmission and control of parasitic diseases and their vectors.
C120,Behavioural Biology,The study of biological factors of behaviour.
C130,Cell Biology,"Concerned with the organisation of the cell, cell membrane and cell communication."
C131,Applied Cell Biology,Topics in Cell Biology of commercial or social importance.
C140,Developmental/Reproductive Biology,"The study of the development and reproduction of multi-cellular organisms and the differentiation of cells, tissues and organs."
C141,Developmental Biology,The study of the development of multi-cellular organisms.
C142,Reproductive Biology,The study of the reproduction of multi-cellular organisms.
C150,Environmental Biology,Relates animals and plants to their terrestrial and marine habitats.
C160,Marine/Freshwater Biology,The study of aquatic biology.
C161,Marine Biology,The study of saltwater and oceanic biology.
C162,Freshwater Biology,The study of freshwater and estuarine biology.
C170,Population Biology,The study of organism numbers and population dynamics.
