"A000","Medicine and Dentistry","",""
"A100","Pre-clinical medicine","Vocational science of preventing, diagnosing, alleviating or curing disease in homo sapiens. Includes such areas as Anatomy, Physiology, Pharmacy and Nutrition which can be specialisms in their own right.",""
"A200","Pre-clinical dentistry","Vocational science concerned with the diagnosis and treatment of damage, disease and disorder to the teeth and gums of homo sapiens.",""
"A300","Clinical medicine","The observation, diagnosis and treatment of an illness or disease through direct interaction with human patients.",""
"A400","Clinical dentistry","The observation, diagnosis and treatment of disease or damage to teeth and gums through direct interaction with human patients.",""
"A900","Others in medicine & dentistry","Miscellaneous grouping for related subjects which do not fit into the other Medicine and Dentistry categories. To be used sparingly.",""
"A990","Medicine & dentistry not elsewhere classified","Miscellaneous grouping for related subjects which do not fit into the other Others in Medicine and Dentistry categories. To be used sparingly.",""
"B000","Subjects Allied to Medicine","",""
"B100","Anatomy, physiology & pathology","The study of the human body and how it is affected by disease. Includes study at cellular and molecular levels.",""
"B110","Anatomy","The scientific study of the structure and function of the human body, including tissues, organs and systems.",""
"B120","Physiology","The study of the function and behaviour of the human body, including subjects such as respiration, circulation, digestion, excretion, reproduction and neuroscience.",""
"B121","Clinical physiology","The study of the major physiology systems in humans, measurement techniques in their normal and abnormal function, and their use in the diagnosis and treatment of disease.",""
"B130","Pathology","The study of the nature, causes and development of human diseases, and the mechanisms of disease infestation and transfer.",""
"B131","Cellular pathology","The study of the effects and nature of diseases in cellular structures.",""
"B132","Pathobiology","The study of the biological nature of diseases.",""
"B140","Neuroscience","The study of the anatomy, physiology, biophysics, biochemistry, molecular biology, pharmacology and behaviour of human nerve cells and nervous systems.",""
"B160","Physiotherapy","The study of the planning and execution of treatment programmes to prevent or remedy physical dysfunction, relieve pain and prevent further disability.",""
"B170","Podiatry","The study of the diagnosis and management of pathologies of the lower limb and foot.","B330"
"B190","Anatomy, physiology & pathology not elsewhere classified","Miscellaneous grouping for related subjects which do not fit into other Anatomy, Physiology and Pathology categories. To be used sparingly.",""
"B200","Pharmacology, toxicology & pharmacy","The study of the therapeutic and toxic effects of drugs on human tissues and systems.",""
"B210","Pharmacology","The study of the nature, source, identification and characteristics of poisons, toxic substances, and exogenous chemical agents and their effects on human tissues and systems.",""
"B220","Toxicology","The study of the professional practice of pharmacy. Includes instruction in principles of medicinal chemistry, drug behaviour, and mixing, preparing and dispensing of prescription medications.",""
"B230","Pharmacy","Miscellaneous grouping for related subjects which do not fit into other Pharmacology, Toxicology and Pharmacy categories. To be used sparingly.",""
"B290","Pharmacology, toxicology & pharmacy not elsewhere classified","Miscellaneous grouping for related subjects which do not fit into other Pharmacology, Toxicology and Pharmacy categories. To be used sparingly.",""
"B300","Complementary medicines, therapies & well-being","The study of medicines and therapies not covered within clinical medicines to prevent and alleviate illness and disease as well as enhance health and well-being.",""
"B310","Osteopathy","The treatment of disease through the manipulation of bones.",""
"B320","Chiropractic","The diagnosis and manipulative treatment of mechanical disorders of the joints.",""
"B340","Alternative medicine & therapies","The study of the methods of diagnosis and treatment considered outside the scope of mainstream medicine in the UK.",""
"B341","Chinese","The study of the range of medical techniques with roots in China, such as moxibustion, massage, cupping, gwa sha, breath work (Qi Gong) and exercise (Tai Chi).",""
"B342","Herbalism","The use of herbs in the treatment of illness.",""
"B343","Acupuncture","The method of treating various conditions by pricking the skin or tissues with needles.",""
"B344","Aromatherapy","The use of plant extracts and essential oils in massage.",""
"B345","Hypnotherapy","The treatment of disease by hypnosis.",""
"B346","Reflexology","A system of massage through reflex points on the feet, hands and head used to relieve tension and treat illness.",""
"B350","Hair & beauty science","The study of services and treatments carried out in the hair, beauty and nail sectors and the sciences related to them.",""
"B351","Hair services","The study of hairdressing services, skills and knowledge required to meet clients' needs including hair and scalp disease and disorders.",""
"B352","Beauty therapies","The study of therapies to enhance well-being, appearance, relaxation or uplift to meet clients' needs. Includes treatments such as injectibles and laser/light therapies.",""
"B353","Make-up","The study of treatments carried out to enhance the appearance of individuals. This can include the application of camouflage make-up.",""
"B360","Spa & water-based therapies","The study of water-based therapies, treatments and services to enhance the face, body, health and well-being.",""
"B390","Complementary medicines, therapies & well-being not elsewhere classified","Miscellaneous grouping for related subjects not elsewhere classified. To be used sparingly.",""
"B400","Nutrition","The study of the process of assimilating nutrient materials into animal or plant tissue. Designed to enhance health and the quality of life of those treated.",""
"B410","Dietetics","The study of nutritional services, menu planning and diet formulation for individuals, families and institutions.",""
"B490","Nutrition not elsewhere classified","Miscellaneous grouping for related subjects which do not fit into other Dietetics categories. To be used sparingly.",""
"B500","Ophthalmics","The study of the eye, disruption to sight and diseases of the eye. Also includes treatment of eye disorders.",""
"B510","Optometry","The study of the principles and techniques for examining, diagnosing and treating conditions of the human visual system.",""
"B520","Orthoptics","The study of principles and techniques for the correction of vision defects in humans using therapeutic exercises.",""
"B590","Ophthalmics not elsewhere classified","Miscellaneous grouping for related subjects which do not fit into other Ophthalmic categories. To be used sparingly.",""
"B600","Aural & oral sciences","The study of speech and hearing and problems that can occur with them. Includes the treatment of hearing defects and speech impediments.",""
"B610","Audiology","The study of the anatomy and physiology of the human hearing organs, their function and malfunction, and related environmental and behavioural topics.",""
"B620","Speech science","The study of the anatomy and physiology of the human speech organs, their function and malfunction, and related environmental and behavioural topics.",""
"B630","Language pathology","The study of the principles and techniques of therapies for persons with physical or behavioural disorders that affect speaking or comprehension.",""
"B690","Aural & oral sciences not elsewhere classified","Miscellaneous grouping for related subjects which do not fit into other Aural and Oral Science categories. To be used sparingly.",""
"B700","Nursing","The study of principles and techniques for assessing, managing, treating and monitoring patients.",""
"B701","Palliative care nursing","The study of principles and techniques for assessing, managing, treating and monitoring the provision of palliative care for individuals with life-limiting conditions.",""
"B702","Clinical practice nursing","The study of the principles and techniques for assessing, managing, treating and monitoring in the following care specialisms: diabetes, cancer, cardiac, renal, respiratory disease or disorders or sexual health.",""
"B710","Community nursing","The study of principles and techniques for assessing, managing, treating and monitoring the health care needs of patients and families outside of a hospital environment.",""
"B712","Health visiting","The study of the promotion of health and health education specialising in working with families with children under 5 years old and older people.",""
"B713","School nursing","The study of principles and techniques for the provision of nursing care within a school setting or to children and young people of school age.",""
"B714","Practice nursing","The study of the principles and techniques for the assessing, screening, treating, care and education of patients within general practitioner practices.",""
"B720","Midwifery","The study of the principles and techniques to allow midwives to deliver babies and treat mothers in the pre-natal, delivery and post-delivery periods.","B711"
"B730","Children's nursing","The study of the principles and techniques to allow nurses to support and provide care for children and their families, from infancy to adolescence.",""
"B731","Neonatal care","The study of the principles and techniques to allow nurses to support and provide care for new-born babies who are premature or who are born sick, and their families.",""
"B740","Adult nursing","The study of the principles and techniques to allow nurses to assess, manage, treat and monitor the provision of care of adults in a variety of settings.",""
"B741","Older people nursing","The study of the principles and techniques to allow nurses to assess, manage, treat and monitor the provision of care for older adults.",""
"B750","Dental nursing","The study of principles and techniques in providing assistance to dentists undertaking procedures and care to persons undergoing such procedures.",""
"B760","Mental health nursing","The study of the principles and therapeutic interventions that allow nurses to provide care for people with mental health needs.",""
"B761","Learning disability nursing","The study of the principles and techniques to provide support for children and adults with learning difficulties.",""
"B770","Medical nursing","The study of the principles and techniques to allow nurses to assess, manage, treat and monitor the provision of care for patients undergoing investigations that do not require surgical intervention.",""
"B771","Critical care nursing","The study of the principles and techniques to allow nurses to assess, manage, treat and monitor the provision of care to critically ill patients.",""
"B772","Surgical nursing","The study of the principles and techniques to allow nurses to assess, manage, treat and monitor the provision of care for patients undergoing surgical intervention.",""
"B773","Emergency nursing","The study of the principles and techniques to allow nurses to assess, manage, treat and monitor the provision of care for patients at first contact in the Emergency department.",""
"B790","Nursing not elsewhere classified","Miscellaneous grouping for related subjects which do not fit into other Nursing categories. To be used sparingly.",""
"B800","Medical technology","The study of the use and development of medical equipment and its potential, including that used in radiography. Also involves understanding the effects of the various forms of radiation used to display and treat damage or illness.",""
"B810","Cardiography","The study of techniques aimed at diagnosing disorders of the human cardiovascular system.",""
"B820","Radiology","The study of the principles and techniques in the use of radiation to provide diagnostic information and therapy in medicine.",""
"B821","Radiography, diagnostic","The study of the principles and techniques in the use of radiation to provide medical diagnostic information.",""
"B822","Radiography, therapeutic","The study of the treatment of human diseases by means of controlled exposure to forms of radiation.",""
"B830","Biomechanics & prosthetics (non-clinical)","The study of the mechanical laws relating to the movement and structure of the human body.",""
"B840","Dental technology","The study of the design and fabrication of dental prosthetics and restorative appliances.",""
"B850","Mortuary technology","The study of the techniques/processes and equipment relating to the storage of deceased human beings.",""
"B890","Medical technology not elsewhere classified","Miscellaneous grouping for related subjects which do not fit into other Medical Technology categories. To be used sparingly.",""
"B900","Others in subjects allied to medicine","Miscellaneous grouping for related subjects which do not fit into the other Subjects Allied to Medicine categories. To be used sparingly.",""
"B910","Environmental health","The study of the monitoring and evaluation of health hazards and the planning and management of public health programmes.",""
