IPP_CODE,IPO_SEQN,IPP_TITL,FAC_CODE,FAC_NAME,IPP_DPTC,DPT_NAME,IPO_AYRC,AYR_SNAM,IPO_BEGD,MOA_NAME,,
DDRSLTSING01,5,Doctor in Speech and Language Therapy,BRN,Faculty of Brain Sciences,PSYLA_BRN,Division of Psychology and Language Sciences,2012,2012/13,24-Sep-12,Part-time,,
DDRSLTSING01,4,Doctor in Speech and Language Therapy,BRN,Faculty of Brain Sciences,PSYLA_BRN,Division of Psychology and Language Sciences,2011,2011/12,26-Sep-11,Part-time,,
RRDCARSING01,4,Research Degree: Cardiovascular Science,PHS,Faculty of Population Health Sciences,CARDI_PHS,Institute of Cardiovascular Science,2012,2012/13,24-Sep-12,Full-time,,
RRDCARSING01,5,Research Degree: Cardiovascular Science,PHS,Faculty of Population Health Sciences,CARDI_PHS,Institute of Cardiovascular Science,2012,2012/13,24-Sep-12,Part-time,,
RRDEPDSING01,13,Research Degree:  Centre for the Advancement of Learning and Teaching,SHS,Faculty of Social and Historical Sciences,CALTG_SHS,Centre for the Advancement of Learning & Teaching,2012,2012/13,24-Sep-12,Part-time,,
RRDSECSING01,7,Research Degree: Security Science,ENG,Faculty of Engineering Sciences,SECUR_ENG,Security and Crime Science,2011,2011/12,26-Sep-11,Full-time,,
DDNBENSING09,7,EngD Biochemical Engineering,ENG,Faculty of Engineering Sciences,BENGN_ENG,Biochemical Engineering,2012,2012/13,24-Sep-12,Full-time,"insert into program(code, title, description) values ('DDNBENSING09','EngD Biochemical Engineering','EngD Biochemical Engineering');","insert into project(code, title, description, program_id) values ('BENGN_ENG','Biochemical Engineering','Biochemical Engineering',(select id from program where code='DDNBENSING09'));"
DDNCHESMMS09,5,EngD Molecular Modelling and Materials Science,MAP,Faculty of Mathematical and Physical Sciences,CHEMS_MAP,Chemistry,2011,2011/12,26-Sep-11,Full-time,,
RRDANTSING01,8,Research Degree:  Anthropology,SHS,Faculty of Social and Historical Sciences,ANTHR_SHS,Anthropology,2010,2010/11,27-Sep-10,Full-time,,
RRDANTSING01,9,Research Degree:  Anthropology,SHS,Faculty of Social and Historical Sciences,ANTHR_SHS,Anthropology,2010,2010/11,27-Sep-10,Part-time,,
RRDANTSING01,10,Research Degree:  Anthropology,SHS,Faculty of Social and Historical Sciences,ANTHR_SHS,Anthropology,2011,2011/12,26-Sep-11,Full-time,,
RRDANTSING01,11,Research Degree:  Anthropology,SHS,Faculty of Social and Historical Sciences,ANTHR_SHS,Anthropology,2011,2011/12,26-Sep-11,Part-time,,
RRDANTSING01,13,Research Degree:  Anthropology,SHS,Faculty of Social and Historical Sciences,ANTHR_SHS,Anthropology,2012,2012/13,24-Sep-12,Part-time,,
RRDSRGSING01,12,Research Degree: Division of Surgery and Interventional Science,MDS,Faculty of Medical Sciences,SURGS_MDS,Division of Surgery and Interventional Science,2011,2011/12,26-Sep-11,Full-time,,
RRDSRGSING01,13,Research Degree: Division of Surgery and Interventional Science,MDS,Faculty of Medical Sciences,SURGS_MDS,Division of Surgery and Interventional Science,2011,2011/12,26-Sep-11,Part-time,,
RRDSRGSING01,14,Research Degree: Division of Surgery and Interventional Science,MDS,Faculty of Medical Sciences,SURGS_MDS,Division of Surgery and Interventional Science,2012,2012/13,24-Sep-12,Full-time,,
RRDCANSHAE01,11,Research Degree: Haematology,MDS,Faculty of Medical Sciences,CANCR_MDS,Cancer Institute,2011,2011/12,26-Sep-11,Full-time,,
RRDCANSHAE01,12,Research Degree: Haematology,MDS,Faculty of Medical Sciences,CANCR_MDS,Cancer Institute,2011,2011/12,26-Sep-11,Part-time,,
RRDCANSHAE01,13,Research Degree: Haematology,MDS,Faculty of Medical Sciences,CANCR_MDS,Cancer Institute,2012,2012/13,24-Sep-12,Full-time,,
RRDCANSHAE01,14,Research Degree: Haematology,MDS,Faculty of Medical Sciences,CANCR_MDS,Cancer Institute,2012,2012/13,24-Sep-12,Part-time,,
RRDCASSING01,10,Research Degree: Centre for Advanced Spatial Analysis,BEN,Faculty of the Built Environment,CASAN_BEN,Centre for Advanced Spatial Analysis,2011,2011/12,26-Sep-11,Full-time,,
RRDCASSING01,11,Research Degree: Centre for Advanced Spatial Analysis,BEN,Faculty of the Built Environment,CASAN_BEN,Centre for Advanced Spatial Analysis,2011,2011/12,26-Sep-11,Part-time,,
RRDCASSING01,13,Research Degree: Centre for Advanced Spatial Analysis,BEN,Faculty of the Built Environment,CASAN_BEN,Centre for Advanced Spatial Analysis,2012,2012/13,24-Sep-12,Part-time,,
RRDCENSING01,10,Research Degree:  Chemical Engineering,ENG,Faculty of Engineering Sciences,CENGN_ENG,Chemical Engineering,2011,2011/12,26-Sep-11,Full-time,,
DDNBENSING09,9,EngD Biochemical Engineering,ENG,Faculty of Engineering Sciences,BENGN_ENG,Biochemical Engineering,2013,2013/14,23-Sep-13,Full-time,,
RRDCASSING01,12,Research Degree: Centre for Advanced Spatial Analysis,BEN,Faculty of the Built Environment,CASAN_BEN,Centre for Advanced Spatial Analysis,2012,2012/13,24-Sep-12,Full-time,,
RRDOPHSING01,10,Research Degree:  Ophthalmology,BRN,Faculty of Brain Sciences,OPHTH_BRN,Institute of Ophthalmology,2011,2011/12,26-Sep-11,Full-time,,
RRDOPHSING01,11,Research Degree:  Ophthalmology,BRN,Faculty of Brain Sciences,OPHTH_BRN,Institute of Ophthalmology,2011,2011/12,26-Sep-11,Part-time,,
RRDOPHSING01,12,Research Degree:  Ophthalmology,BRN,Faculty of Brain Sciences,OPHTH_BRN,Institute of Ophthalmology,2012,2012/13,24-Sep-12,Full-time,,
RRDSRGSING01,15,Research Degree: Division of Surgery and Interventional Science,MDS,Faculty of Medical Sciences,SURGS_MDS,Division of Surgery and Interventional Science,2012,2012/13,24-Sep-12,Part-time,,
RRDSTASING01,10,Research Degree:  Statistical Science,MAP,Faculty of Mathematical and Physical Sciences,STATS_MAP,Statistical Science,2011,2011/12,26-Sep-11,Full-time,,
RRDSTASING01,11,Research Degree:  Statistical Science,MAP,Faculty of Mathematical and Physical Sciences,STATS_MAP,Statistical Science,2011,2011/12,26-Sep-11,Part-time,,
RRDSTASING01,12,Research Degree:  Statistical Science,MAP,Faculty of Mathematical and Physical Sciences,STATS_MAP,Statistical Science,2012,2012/13,24-Sep-12,Full-time,,
RRDSTASING01,13,Research Degree:  Statistical Science,MAP,Faculty of Mathematical and Physical Sciences,STATS_MAP,Statistical Science,2012,2012/13,24-Sep-12,Part-time,,
RRDSTSSING01,10,Research Degree:  Science and Technology Studies,MAP,Faculty of Mathematical and Physical Sciences,SCITS_MAP,Science and Technology Studies,2011,2011/12,26-Sep-11,Full-time,,
RRDSTSSING01,11,Research Degree:  Science and Technology Studies,MAP,Faculty of Mathematical and Physical Sciences,SCITS_MAP,Science and Technology Studies,2011,2011/12,26-Sep-11,Part-time,,
RRDSTSSING01,12,Research Degree:  Science and Technology Studies,MAP,Faculty of Mathematical and Physical Sciences,SCITS_MAP,Science and Technology Studies,2012,2012/13,24-Sep-12,Full-time,,
RRDTRLSING01,10,Research Degree: Translation Studies,ART,Faculty of Arts and Humanities,DUTCH_ART,Dutch,2011,2011/12,26-Sep-11,Full-time,,
RRDTRLSING01,11,Research Degree: Translation Studies,ART,Faculty of Arts and Humanities,DUTCH_ART,Dutch,2011,2011/12,26-Sep-11,Part-time,,
RRDTRLSING01,12,Research Degree: Translation Studies,ART,Faculty of Arts and Humanities,DUTCH_ART,Dutch,2012,2012/13,24-Sep-12,Full-time,,
RRDTRLSING01,13,Research Degree: Translation Studies,ART,Faculty of Arts and Humanities,DUTCH_ART,Dutch,2012,2012/13,24-Sep-12,Part-time,,
RRDWMNSING01,10,Research Degree: Institute for Women's Health,PHS,Faculty of Population Health Sciences,WOMEN_PHS,Institute for Women's Health,2011,2011/12,26-Sep-11,Full-time,,
RRDWMNSING01,11,Research Degree: Institute for Women's Health,PHS,Faculty of Population Health Sciences,WOMEN_PHS,Institute for Women's Health,2011,2011/12,26-Sep-11,Part-time,,
RRDWMNSING01,12,Research Degree: Institute for Women's Health,PHS,Faculty of Population Health Sciences,WOMEN_PHS,Institute for Women's Health,2012,2012/13,24-Sep-12,Full-time,,
RRDCARSING01,1,Research Degree: Cardiovascular Science,PHS,Faculty of Population Health Sciences,CARDI_PHS,Institute of Cardiovascular Science,2011,2011/12,26-Sep-11,Full-time,,
RRDSRGSSPO01,3,"Research Degree: Institute of Sport, Exercise and Health",MDS,Faculty of Medical Sciences,SURGS_MDS,Division of Surgery and Interventional Science,2011,2011/12,26-Sep-11,Full-time,,
RRDSRGSSPO01,4,"Research Degree: Institute of Sport, Exercise and Health",MDS,Faculty of Medical Sciences,SURGS_MDS,Division of Surgery and Interventional Science,2011,2011/12,26-Sep-11,Part-time,,
RRDMEDSOPL01,3,Research Degree:  Division of Medical Education Open Learning,MDS,Faculty of Medical Sciences,UCLMS_MDS,UCL Medical School,2011,2011/12,26-Sep-11,Full-time,,
RRDMEDSOPL01,4,Research Degree:  Division of Medical Education Open Learning,MDS,Faculty of Medical Sciences,UCLMS_MDS,UCL Medical School,2012,2012/13,24-Sep-12,Full-time,,
RRDCARSING01,2,Research Degree: Cardiovascular Science,PHS,Faculty of Population Health Sciences,CARDI_PHS,Institute of Cardiovascular Science,2011,2011/12,26-Sep-11,Part-time,,
RRDBISSNPP01,8,"Research Degree: Neuroscience, Physiology and Pharmacology",LIF,Faculty of Life Sciences,BIOSC_LIF,Division of Biosciences,2011,2011/12,26-Sep-11,Full-time,,
RRDBISSNPP01,9,"Research Degree: Neuroscience, Physiology and Pharmacology",LIF,Faculty of Life Sciences,BIOSC_LIF,Division of Biosciences,2012,2012/13,24-Sep-12,Full-time,,
RRDBISSSMB01,8,Research Degree: Structural and Molecular Biology,LIF,Faculty of Life Sciences,BIOSC_LIF,Division of Biosciences,2011,2011/12,26-Sep-11,Full-time,,
RRDBISSSMB01,9,Research Degree: Structural and Molecular Biology,LIF,Faculty of Life Sciences,BIOSC_LIF,Division of Biosciences,2012,2012/13,24-Sep-12,Full-time,,
RRDCANSING01,9,Research Degree: Cancer Institute,MDS,Faculty of Medical Sciences,CANCR_MDS,Cancer Institute,2011,2011/12,26-Sep-11,Full-time,,
RRDCANSING01,10,Research Degree: Cancer Institute,MDS,Faculty of Medical Sciences,CANCR_MDS,Cancer Institute,2012,2012/13,24-Sep-12,Full-time,,
RRDCANSONC01,9,Research Degree: Oncology,MDS,Faculty of Medical Sciences,CANCR_MDS,Cancer Institute,2011,2011/12,26-Sep-11,Full-time,,
RRDCANSPAT01,9,Research Degree: Pathology,MDS,Faculty of Medical Sciences,CANCR_MDS,Cancer Institute,2011,2011/12,26-Sep-11,Full-time,,
RRDPLSSCPB01,9,"Research Degree: Cognitive, Perceptual and Brain Sciences",BRN,Faculty of Brain Sciences,PSYLA_BRN,Division of Psychology and Language Sciences,2011,2011/12,26-Sep-11,Part-time,,
RRDPLSSDSC01,8,Research Degree: Developmental Science,BRN,Faculty of Brain Sciences,PSYLA_BRN,Division of Psychology and Language Sciences,2011,2011/12,26-Sep-11,Full-time,,
