AE0001,Abu Dhabi University,AE
AE0002,Ajman University of Science and Technology,AE
AE0003,Al Ain University of Science and Technology,AE
AE0004,Al Ghurair University,AE
AE0005,Al Hosn University,AE
AE0006,Al Khawarizmi International College,AE
AE0007,American College of Dubai,AE
AE0008,American University in Dubai,AE
AE0009,American University of Sharjah,AE
AE0010,Centennial University of Dubai,AE
AE0011,Computer College,AE
AE0012,Dubai Medical College for Girls,AE
AE0013,Dubai Pharmacy College,AE
AE0014,Dubai Police Academy,AE
AE0015,Dubai University College for Applied Studies,AE
AE0016,Electronic Total Quality Management (E-TQM College),AE
AE0017,Emirates Academy of Hospitality Management,AE
AE0018,Emirates Aviation College Aerospace and Academic Studies,AE
AE0019,Emirates College for Management and Information Technology,AE
AE0020,Emirates College of Technology,AE
AE0021,Emirates Institute for Banking and Financial Studies,AE
AE0022,Etisalat University College,AE
AE0023,Falcon College of Hotel Management and Tourism,AE
AE0024,Fujairah College,AE
AE0025,Gulf Medical College,AE
AE0026,Institute of Management Technology Dubai,AE
AE0027,International Institute for Safety and Security,AE
AE0028,"Islamic and Arabic Studies College, Dubai",AE
AE0029,Ittihad University,AE
AE0030,Ministry of the Interior Police College,AE
AE0031,Naval College,AE
AE0032,Petroleum Institute,AE
AE0033,Police Sciences Academy Sharjah,AE
AE0034,Ras Al Khaimah Medical and Health Sciences University,AE
AE0035,Skyline College,AE
AE0036,Syscoms College,AE
AE0037,"United Arab Emirates University, Al Ain",AE
AE0038,University of Sharjah,AE
AE0039,University of Wollongong in Dubai,AE
AE0040,Zayed University,AE
AF0001,Al Biruni University,AF
AF0002,American University of Afghanistan,AF
AF0003,Badakhshan Institute of Higher Education,AF
AF0004,Baghlan University,AF
AF0005,Balkh University,AF
AF0006,Bamian University,AF
AF0007,Fariab Institute of Higher Education,AF
AF0008,Herat University,AF
AF0009,Jozjan Institute of Higher Education,AF
AF0010,Kabul Medical University,AF
AF0011,Kabul Polytechnic University,AF
AF0012,Kabul University,AF
AF0013,Kandahar University,AF
AF0014,Khost University,AF
AF0015,Kunduz Institute of Higher Education,AF
AF0016,Nangarhar University,AF
AF0017,Paktia University,AF
AF0018,Parwan Institute of Higher Education,AF
AF0019,Takhar University,AF
AF0020,University of Education Kabul,AF
AL0001,Academy of Fine Arts Tiran&#235;,AL
AL0002,Agricultural University of Tiran&#235;,AL
AL0003,Aleksand&#235;r Xhuvani University of Elbasan,AL
AL0004,Eqerem &#199;abej University of Gjirokstra,AL
AL0005,"Higher Institute of Physical Education Vojo Kushi, Tiran&#235;",AL
AL0006,Higher Military Academy in Tiran&#235;,AL
AL0007,Higher Military Academy in Vlora,AL
AL0008,Higher Unified Military School in Tiran&#235;,AL
AL0009,Ismail Qemal Vlora Technological University,AL
AL0010,Luigj Gurakuqi University of Shkod&#235;r,AL
AL0011,Polytechnic University of Tiran&#235;,AL
AL0012,"University of Korca, FS Noli",AL
AL0013,University of Tiran&#235;,AL
AM0001,Academy of Crisis Management,AM
AM0002,American University of Armenia,AM
AM0003,Armenian Agricultural Academy,AM
AM0004,Public Administration Academy of the Republic of Armenia,AM
AM0005,Armenian State Institute of Physical Culture,AM
AM0006,Armenian-Russian (Slavic) State University,AM
AM0007,French University in Armenia,AM
AM0008,Gavar State University,AM
AM0009,Gyumri State Pedagogical Institute M. Nalbandian,AM
AM0010,Kh. Abovyan Armenian State Pedagogical University,AM
AM0011,State Engineering University of Armenia,AM
AM0012,State Engineering University of Armenia (Goris Branch),AM
AM0013,State Engineering University of Armenia (Gyumri Branch),AM
AM0014,State Engineering University of Armenia (Kapan Branch),AM
AM0015,State Engineering University of Armenia (Vanadzor Branch),AM
AM0016,Ternopol State Economical University (Yeravan Branch),AM
AM0017,Vanadzor State Pedagogical Institute,AM
AM0018,Yeravan State University (Ijevan Branch),AM
AM0019,Yerevan State Academy of Fine Arts,AM
AM0020,Yerevan State Academy of Fine Arts (Gyumri Branch),AM
AM0021,Yerevan State Institute of Economy,AM
AM0022,Yerevan State Institute of Economy (Gyumri Branch),AM
AM0023,Yerevan State Institute of Theatre and Cinematography,AM
AM0024,Yerevan State Institute of Theatre and Cinematography (Gyumri Branch),AM
AM0025,Yerevan State Komitas Conservatory,AM
AM0026,Yerevan State Komitas Conservatory (Gyumri Branch),AM
AM0027,Yerevan State Linguistic University V. Brjusov,AM
AM0028,Yerevan State Medical M. Heratsi University,AM
AM0029,Yerevan State University,AM
AM0030,Yerevan State University of Architecture and Construction,AM
AR0001,Universidad de Buenos Aires,AR
AR0002,"Universidad de San Andres, Argentina",AR
AR0003,Universidad Nacional de Catamarca,AR
AR0004,Universidad Nacional de Cordoba,AR
AR0005,Universidad Nacional de Cuyo,AR
AR0006,Universidad Nacional de Entre Rios,AR
AR0007,Universidad Nacional de Jujuy,AR
AR0008,Universidad Nacional de la Pampa,AR
AR0009,Universidad Nacional de la Patagonia San Juan Bosco,AR
AR0010,Universidad Nacional de la Plata,AR
AR0011,Universidad Nacional de Lomas de Zamara,AR
AR0012,Universidad Nacional de Lujan,AR
AR0013,Universidad Nacional de Mar del Plata,AR
AR0014,Universidad Nacional de Misiones,AR
AR0015,Universidad Nacional de Rio Cuarto,AR
AR0016,Universidad Nacional de Rosario,AR
AR0017,Universidad Nacional de Salta,AR
AR0018,Universidad Nacional de San Juan,AR
AR0019,Universidad Nacional de Tucuman,AR
AR0020,Universidad Nacional del Centro de la Provincia de Buenos Aires,AR
AR0021,Universidad Nacional del Comahue,AR
AR0022,Universidad Nacional del Litoral,AR
AR0023,Universidad Nacional del Nordeste,AR
AR0024,Universidad Provincial de la Rioja,AR
AR0025,Universidad Tecnologica Nacional,AR
AT0001,Akademie der Bildenden K&#252;nste in Wien (Academy of Fine Arts),AT
AT0002,Alpen-Adria-Universit&#228;t Klagenfurt,AT
AT0003,Donau-Universit&#228;t Krems,AT
AT0004,Montanuniversit&#228;t Leoben,AT
AT0005,Technische Universit&#228;t Graz,AT
AT0006,Technische Universit&#228;t Wien,AT
AT0007,Universit&#228;t f&#252;r angewandte Kunst Wien,AT
AT0008,Universit&#228;t f&#252;r Bodenkultur Wien,AT
AT0009,Universit&#228;t f&#252;r K&#252;nstlerische und Industrielle Getstaltung Linz,AT
AT0010,Universit&#228;t f&#252;r Musik und darstellende Kunst Graz,AT
